source_id,title,publisher_or_authors,year_or_date,source_type,evidence_class,url,accessed,scope_or_key_finding,limitations
R001,Repository governance,Kingsley-Cyber/ai-video-movement-prompt-system,eb0fc359de4bb61075db49ca0dad08d4d6ed5114,repository_file,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/AGENTS.md,2026-08-05,Defines repository-wide authority and no-parallel-kernel constraints.,"Repository policy, not empirical model evidence."
R002,CPCS architecture,Kingsley-Cyber/ai-video-movement-prompt-system,eb0fc359de4bb61075db49ca0dad08d4d6ed5114,repository_file,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/ARCHITECTURE.md,2026-08-05,Defines one provider-neutral score and compile-render-verify-repair loop.,Architecture may exceed currently qualified runtime behavior.
R003,Lab governance,Kingsley-Cyber/ai-video-movement-prompt-system,eb0fc359de4bb61075db49ca0dad08d4d6ed5114,repository_file,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/AGENTS.md,2026-08-05,Requires controlled A/B experiments and exact authority boundaries.,Policy only.
R004,CPCS control surface,Kingsley-Cyber/ai-video-movement-prompt-system,eb0fc359de4bb61075db49ca0dad08d4d6ed5114,repository_file,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/CONTROL_SURFACE.md,2026-08-05,"Maps authored prose, canonical controls, and known unexplored areas.",Several statements are research hypotheses pending verification.
R005,CPCS format control map,Kingsley-Cyber/ai-video-movement-prompt-system,eb0fc359de4bb61075db49ca0dad08d4d6ed5114,repository_file,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/FORMAT_CONTROL_MAP.md,2026-08-05,"Defines YAML authoring, JSON canonical authority, XML event envelopes, JSONL evidence, and media controls.",Does not prove provider-side structured-format superiority.
R006,Universal score schema 1.0,Kingsley-Cyber/ai-video-movement-prompt-system,eb0fc359de4bb61075db49ca0dad08d4d6ed5114,repository_schema,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/compiler/schemas/universal_score.schema.json,2026-08-05,"Existing owners include entities, scenes, shots, beats, actions, interactions, camera, editing, audio, continuity, constraints, provider realization, verification requirements, and loss surfaces.",Many high-level objects are open objects and need typed minimal extensions.
R007,Provider capability schema 1.0,Kingsley-Cyber/ai-video-movement-prompt-system,eb0fc359de4bb61075db49ca0dad08d4d6ed5114,repository_schema,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/compiler/schemas/provider_capability.schema.json,2026-08-05,Current schema is hard-coded to Google Vertex AI Veo 3.1 and its current adapter assumptions.,Not yet a universal multi-provider capability contract.
R008,Verification plan schema 1.0,Kingsley-Cyber/ai-video-movement-prompt-system,eb0fc359de4bb61075db49ca0dad08d4d6ed5114,repository_schema,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/compiler/schemas/verification_plan.schema.json,2026-08-05,"Supports direct, semantic, measured, and human-review observability plus provider artifact checks.",Current artifact checks are basic media properties; failure-specific metrics require extension.
R009,Compliance report schema 1.0,Kingsley-Cyber/ai-video-movement-prompt-system,eb0fc359de4bb61075db49ca0dad08d4d6ed5114,repository_schema,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/verification/schemas/compliance_report.schema.json,2026-08-05,"Already supports evidence traces, conflicts, interval-scoped failures, and bounded repair actions that reassert canonical controls.",Does not yet define the failure taxonomy or metric catalog in this package.
R010,Second-brain governance,Kingsley-Cyber/ai-video-movement-prompt-system,eb0fc359de4bb61075db49ca0dad08d4d6ed5114,repository_file,controlled_repository_observation,https://github.com/Kingsley-Cyber/ai-video-movement-prompt-system/blob/eb0fc359de4bb61075db49ca0dad08d4d6ed5114/lab/second_brain/AGENTS.md,2026-08-05,"Separates frozen research, curated knowledge, immutable evidence, and rebuildable derived state.",Research proposals cannot promote themselves into production authority.
