failure_id,failure_name,existing_owner,existing_coverage,missing_evidence,missing_mitigation,missing_test,recommended_owner,parallel_owner_prohibited
failure://a/hidden_state_reconstruction/1,Hidden-state reconstruction hallucination,lab/compiler universal score continuity/actions; lab/verification assertions; lab/second_brain evidence,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/a/hidden_state_reconstruction/v1,continuity + actions + verification,true
failure://a/duplicate_after_occlusion/1,Subject duplication after opaque occlusion,lab/compiler universal score continuity/actions; lab/verification assertions; lab/second_brain evidence,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/a/duplicate_after_occlusion/v1,continuity + actions + verification,true
failure://a/identity_rewrite_under_effect/1,Identity rewrite under effect cover,lab/compiler universal score continuity/actions; lab/verification assertions; lab/second_brain evidence,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/a/identity_rewrite_under_effect/v1,continuity + actions + verification,true
failure://a/reappearance_region_error/1,Incorrect reappearance region,lab/compiler universal score continuity/actions; lab/verification assertions; lab/second_brain evidence,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/a/reappearance_region_error/v1,continuity + actions + verification,true
failure://a/occluder_subject_fusion/1,Occluder-subject fusion,lab/compiler universal score continuity/actions; lab/verification assertions; lab/second_brain evidence,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/a/occluder_subject_fusion/v1,continuity + actions + verification,true
failure://a/frame_exit_reentry_reset/1,Frame-exit and re-entry state reset,lab/compiler universal score continuity/actions; lab/verification assertions; lab/second_brain evidence,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/a/frame_exit_reentry_reset/v1,continuity + actions + verification,true
failure://b/object_disappearance/1,Persistent object disappearance,lab/compiler entities/continuity/assets; lab/verification state checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/b/object_disappearance/v1,entities + continuity + verification,true
failure://b/spontaneous_object_creation/1,Spontaneous object creation,lab/compiler entities/continuity/assets; lab/verification state checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/b/spontaneous_object_creation/v1,entities + continuity + verification,true
failure://b/state_reset/1,Object-state reset,lab/compiler entities/continuity/assets; lab/verification state checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/b/state_reset/v1,entities + continuity + verification,true
failure://b/size_material_drift/1,"Size, color, or material drift",lab/compiler entities/continuity/assets; lab/verification state checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/b/size_material_drift/v1,entities + continuity + verification,true
failure://b/hand_object_detachment/1,Hand-object detachment,lab/compiler entities/continuity/assets; lab/verification state checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/b/hand_object_detachment/v1,entities + continuity + verification,true
failure://b/environment_layout_drift/1,Environmental layout drift,lab/compiler entities/continuity/assets; lab/verification state checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/b/environment_layout_drift/v1,entities + continuity + verification,true
failure://c/face_costume_drift/1,Face and costume drift,lab/compiler entities/interactions/continuity; lab/verification identity-role checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/c/face_costume_drift/v1,entities + interactions + continuity + verification,true
failure://c/actor_duplication_fusion/1,Actor duplication or fusion,lab/compiler entities/interactions/continuity; lab/verification identity-role checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/c/actor_duplication_fusion/v1,entities + interactions + continuity + verification,true
failure://c/role_swap/1,Attacker-defender or speaker-role swap,lab/compiler entities/interactions/continuity; lab/verification identity-role checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/c/role_swap/v1,entities + interactions + continuity + verification,true
failure://c/screen_side_identity_swap/1,Screen-side identity swap,lab/compiler entities/interactions/continuity; lab/verification identity-role checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/c/screen_side_identity_swap/v1,entities + interactions + continuity + verification,true
failure://c/target_confusion/1,Action target confusion,lab/compiler entities/interactions/continuity; lab/verification identity-role checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/c/target_confusion/v1,entities + interactions + continuity + verification,true
failure://c/voice_identity_drift/1,Voice identity drift,lab/compiler entities/interactions/continuity; lab/verification identity-role checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/c/voice_identity_drift/v1,entities + interactions + continuity + verification,true
failure://d/left_right_frame_confusion/1,"Viewer-, actor-, and world-left confusion",lab/compiler scenes/shots/actions/camera; lab/verification geography checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/d/left_right_frame_confusion/v1,scenes + shots + actions + camera + verification,true
failure://d/axis_reversal_after_cut/1,Axis reversal after cut,lab/compiler scenes/shots/actions/camera; lab/verification geography checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/d/axis_reversal_after_cut/v1,scenes + shots + actions + camera + verification,true
failure://d/depth_order_inversion/1,Depth-order inversion,lab/compiler scenes/shots/actions/camera; lab/verification geography checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/d/depth_order_inversion/v1,scenes + shots + actions + camera + verification,true
failure://d/trajectory_target_miss/1,Trajectory misses target region,lab/compiler scenes/shots/actions/camera; lab/verification geography checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/d/trajectory_target_miss/v1,scenes + shots + actions + camera + verification,true
failure://d/entrance_exit_mismatch/1,Entrance and exit mismatch,lab/compiler scenes/shots/actions/camera; lab/verification geography checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/d/entrance_exit_mismatch/v1,scenes + shots + actions + camera + verification,true
failure://d/eyeline_mismatch/1,Eyeline and gaze-target mismatch,lab/compiler scenes/shots/actions/camera; lab/verification geography checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/d/eyeline_mismatch/v1,scenes + shots + actions + camera + verification,true
failure://e/action_omission/1,Primary action omission,lab/compiler beats/actions/editing; lab/verification event-graph checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/e/action_omission/v1,beats + actions + editing + verification,true
failure://e/action_merge/1,Sequential actions merged into one gesture,lab/compiler beats/actions/editing; lab/verification event-graph checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/e/action_merge/v1,beats + actions + editing + verification,true
failure://e/action_repeat/1,Unrequested action repetition,lab/compiler beats/actions/editing; lab/verification event-graph checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/e/action_repeat/v1,beats + actions + editing + verification,true
failure://e/event_order_reversal/1,Event-order reversal,lab/compiler beats/actions/editing; lab/verification event-graph checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/e/event_order_reversal/v1,beats + actions + editing + verification,true
failure://e/recovery_omission/1,Recovery or settle omission,lab/compiler beats/actions/editing; lab/verification event-graph checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/e/recovery_omission/v1,beats + actions + editing + verification,true
failure://e/simultaneity_collapse/1,Sequential events become simultaneous,lab/compiler beats/actions/editing; lab/verification event-graph checks,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/e/simultaneity_collapse/v1,beats + actions + editing + verification,true
failure://f/effect_before_cause/1,Effect occurs before cause,lab/compiler actions/interactions/audio; lab/verification causal assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/f/effect_before_cause/v1,actions + interactions + effects + verification,true
failure://f/effect_without_cause/1,Effect without a valid cause,lab/compiler actions/interactions/audio; lab/verification causal assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/f/effect_without_cause/v1,actions + interactions + effects + verification,true
failure://f/wrong_effect_origin/1,Effect originates at the wrong location,lab/compiler actions/interactions/audio; lab/verification causal assertions,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/f/wrong_effect_origin/v1,actions + interactions + effects + verification,true
