failure_id,family_id,family_name,failure_name,trigger_conditions,observable_symptoms,primary_level,primary_method,fallback_level,fallback_method,verification_metrics,evidence_strength,empirical_confidence,render_campaign_status
failure://a/hidden_state_reconstruction/1,A,Occlusion and hidden-state continuity,Hidden-state reconstruction hallucination,"A subject becomes completely hidden by splash, smoke, debris, darkness, blur, or a foreground object.","The subject returns with an invented pose, action, identity detail, or location.",L4,"Keep a visibility bridge or supply a tracked mask, silhouette, pose path, depth path, or control video; otherwise split before and after the opaque interval.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_count_consistency metric_hidden_path_consistency metric_identity_continuity metric_occlusion_reappearance_region_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://a/duplicate_after_occlusion/1,A,Occlusion and hidden-state continuity,Subject duplication after opaque occlusion,A full-frame effect hides one actor while a second actor or reflection remains visible.,The returning actor coexists with an unintended duplicate or the occluder spawns a face or limb.,L4,"Lock actor count in the canonical state, retain distinct visibility anchors, and verify instance tracks through the effect; move the effect to post when count must be exact.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_count_consistency metric_hidden_path_consistency metric_identity_continuity metric_occlusion_reappearance_region_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://a/identity_rewrite_under_effect/1,A,Occlusion and hidden-state continuity,Identity rewrite under effect cover,"The face, costume, or body is fully hidden by an effect or fast blur.","Hair, face, costume, or body proportions change on reappearance.",L3,Use reference-conditioned generation plus a partially visible identity anchor; require an identity checkpoint immediately before and after the cover.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_count_consistency metric_hidden_path_consistency metric_identity_continuity metric_occlusion_reappearance_region_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://a/reappearance_region_error/1,A,Occlusion and hidden-state continuity,Incorrect reappearance region,A moving subject is fully occluded while continuing to translate or dive.,"The subject reappears too early, too late, or in the wrong screen/depth region.",L2,"Encode occlusion start/end, hidden trajectory, expected screen/depth region, and velocity continuity; escalate to trajectory control when tolerance is small.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_count_consistency metric_hidden_path_consistency metric_identity_continuity metric_occlusion_reappearance_region_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://a/occluder_subject_fusion/1,A,Occlusion and hidden-state continuity,Occluder-subject fusion,"Hair, cloth, water, smoke, another body, or a foreground prop overlaps the subject for multiple frames.","Materials merge with anatomy, clothing becomes fluid, or two bodies fuse.",L4,Provide masks or layered control media and preserve a readable silhouette; use compositing for dense particulate or fluid covers.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_count_consistency metric_hidden_path_consistency metric_identity_continuity metric_limb_separability metric_occlusion_reappearance_region_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://a/frame_exit_reentry_reset/1,A,Occlusion and hidden-state continuity,Frame-exit and re-entry state reset,An actor exits the frame or is hidden by a camera whip and returns later.,"The actor returns with reset state, wrong prop, changed injury, or reversed role.",L5,"Terminate the shot at exit, create an explicit handoff state, and generate re-entry as a new shot from a state/reference keyframe when continuity is hard.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_count_consistency metric_hidden_path_consistency metric_identity_continuity metric_occlusion_reappearance_region_error metric_state_transition_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://b/object_disappearance/1,B,Object permanence and state persistence,Persistent object disappearance,"A prop becomes small, briefly hidden, passed between hands, or de-emphasized by the camera.",The prop vanishes before the canonical removal event.,L3,"Use a dedicated reference/asset binding, state-ledger presence invariant, and object-specific verification track.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_environment_layout_consistency metric_material_attribute_stability metric_object_count_consistency metric_state_transition_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://b/spontaneous_object_creation/1,B,Object permanence and state persistence,Spontaneous object creation,The prompt implies an interaction but omits the required prop's introduction or exact count.,"A new prop, weapon, product, or environmental element appears without an event.",L2,Declare the complete initial inventory and event-scoped creation/destruction permissions; reject undeclared count increases.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_environment_layout_consistency metric_material_attribute_stability metric_object_count_consistency metric_state_transition_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://b/state_reset/1,B,Object permanence and state persistence,Object-state reset,"An object changes state, then is occluded, cut away from, or revisited.","Open becomes closed, broken becomes intact, wet becomes dry, or consumed material returns.",L2,Represent state transitions as irreversible ledger deltas with validity intervals and post-transition reference frames.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_environment_layout_consistency metric_material_attribute_stability metric_object_count_consistency metric_state_transition_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://b/size_material_drift/1,B,Object permanence and state persistence,"Size, color, or material drift","A product or prop rotates, changes depth, becomes partially hidden, or crosses shots.","Dimensions, logo placement, color, or material changes.",L3,"Use orthographic/reference views or a product sheet, freeze non-negotiable attributes, and use video-to-video or compositing for exact product geometry.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_environment_layout_consistency metric_material_attribute_stability metric_object_count_consistency metric_state_transition_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
