id,area,requirement,status,existing_evidence,verified_gap_or_risk,recommended_action,priority,verification_checkpoint
DMR-001,Repository governance,"Inspect README, AGENTS, routing, conventions, and record state before writing",existing_strong,AGENTS.md; README.md; lab/AGENTS.md,None in capability; the uploaded task must obey rather than override it silently.,Make repository-law compliance the first hard gate.,P0,git status --short; git branch --show-current; git rev-parse HEAD
DMR-002,Target path,Create research/director_motion_reasoning/,conflict,AGENTS.md declares research/ frozen and SHA-protected,Blind creation under research/ violates the current directory contract and creates a fourth overlapping package.,Default to gap-first integration in lab/. Create a new frozen research package only through an explicit owner override and same-commit AGENTS.md update.,P0,python3 lab/scripts/sync_repo.py
DMR-003,Research package,Deep movement/directing monograph,existing_strong,research/CPCS_FACS_Laban_AI_Video_Research_Package_v1.2; research/CPCS_MX_Hierarchical_Motion_Grammar_Research_Package_v1.0,Requested monograph substantially overlaps two existing packages.,Build a coverage/delta map and research only unsupported claims.,P0,python3 lab/scripts/sync_repo.py
DMR-004,RAG corpus,RAG-ready chunked knowledge corpus,existing_strong,CPCS_RAG_Corpus.jsonl (178 records); CPCS_MX_RAG_Corpus.jsonl,No unified delta corpus for newly added concepts.,"Append concept cards and, only if justified, build a small additive delta corpus.",P1,python3 lab/scripts/concepts.py validate
DMR-005,Source catalog,Primary/peer-reviewed source matrix,existing_strong,CPCS 90 references; CPCS-MX 80 references,New domains need source additions and claim-to-source coverage.,Add only missing sources and generate source-coverage reports.,P1,reference index builder; broken-ID check
DMR-006,Canonical score,Canonical machine-readable motion model,existing_strong,CPCS-MX canonical schema and UNIVERSAL_MOTION_SKELETON.md,No reason to create a second root schema.,Extend by versioned optional modules or aligned properties; retain one authority per quantity.,P0,jsonschema validation of all examples
DMR-007,Authoring model,YAML authoring/inheritance/profile system,existing_strong,CPCS_MX_Authoring_Schema.json; profiles/; compile_authoring_yaml.py,Missing explicit modules for Bartenieff and normalized phase semantics.,Add typed extensions to active lab/compiler layer.,P1,compile examples and inspect unresolved report
DMR-008,Observation records,Evidence-preserving observation records,existing_strong,CPCS_Video_Observation_Record_Schema.json,Need new evidence types for connectivity and BML-aligned behavior.,Extend vocabularies without weakening provenance classes.,P1,validate every JSONL line
DMR-009,Video Observation Graph,Scene evidence graph with contradictions,existing_strong,CPCS_Video_Observation_Graph_Schema.json; merge/validate tools,Need explicit alignment for new node/edge types and temporal relations.,Extend VOG schema or add a backward-compatible overlay.,P1,schema_valid=true and semantic_valid=true
DMR-010,Knowledge graph,Repo concept/evidence/retrieval graph,existing_strong,lab/concepts.jsonl; lab/graph.json; build_graph.py,Uploaded specification conflates repo knowledge graph and scene graph.,Document and test the two-graph architecture; never merge their identities.,P0,python3 lab/scripts/build_graph.py; exact rebuild diff
DMR-011,FACS,"Action Units, intensity, laterality, temporal envelopes",existing_partial,CPCS paper; references/facs_laban_reference.md; concept cards,"Need a stronger computational event contract, visibility/unscorable states, and reliability/calibration guidance.",Add a FACS event profile and evidence-calibration tests; do not reproduce proprietary manual content.,P1,AU IDs resolve; intensity range; onset<=apex<=offset
DMR-012,Facial dynamics,"Onset/apex/offset, coactivation, baseline, asymmetry",existing_partial,CPCS paper and reverse-analysis layer,Numeric AU track remains untested and only partially implemented.,Implement and A/B-test AU spline track versus descriptive prose.,P1,curve knots monotonic; side enum; confidence range
DMR-013,Gaze/head/blink/breath,Non-AU facial and attention channels,existing_partial,UNIVERSAL_MOTION_SKELETON; CPCS extraction layer,No unified BML-aligned synchronization contract.,Map gaze/head/blink/breath events to canonical sync anchors.,P1,sync references resolve; no orphan event anchors
DMR-014,Laban BESS,"Body, Effort, Shape, Space, phrasing",existing_partial,CPCS/MX papers; skeleton; Laban profiles,Effort/Shape are stronger than Body/Space/phrasing; numerical axes may look more authoritative than evidence permits.,Label qualitative canon versus project numeric proxies; complete Body/Space/phrasing definitions.,P1,knowledge_type labels; proxy_method required for numeric values
DMR-015,Laban Effort vectors,"[-1,1] computational axes",existing_partial,v005 and CPCS-MX schema,Project convention exists but needs explicit source/proxy metadata and calibration.,"Require convention_id, proxy_method, uncertainty, and mapping version.",P1,range checks; mapping-version required
DMR-016,Bartenieff connectivity,"Breath, Core-Distal, Head-Tail, Upper-Lower, Body-Half, Cross-Lateral",missing,No searchable repository coverage,Major gap in full-body organization and propagation reasoning.,"Add six recognized patterns, aliases, observable proxies, phase-lag/chain fields, caveats, and concept cards.",P0,six canonical IDs present; aliases resolve; no clinical claims
DMR-017,Proximal-distal sequencing,"Initiation, propagation, joint-chain participation",existing_partial,CPCS-MX local_phase_order and kinetic concepts,Not formalized as reusable measured relations with lag/tolerance.,Add propagation graph and lag metrics linked to Bartenieff and kinematic tracks.,P1,acyclic chain or explicit cycle; lag units declared
