experiment_id,priority,claim_under_test,baseline,treatment,controlled_factors,n_per_condition,automatic_metrics,human_metrics,decision_rule,prerequisites,status
DMR-E001,P0,Controlled natural language preserves action order better than free prose,free prose,controlled natural language generated from same canonical plan,"provider/model/version; seed when supported; assets; duration; aspect; negative prompt",12,"action-order accuracy; phase-boundary error; actor assignment","blind choreography correctness; readability","promote only if effect is positive with 95% CI excluding zero on primary metric",benchmark scene set,queued
DMR-E002,P0,Serialization format changes adherence after semantic content is held constant,canonical content serialized as JSON,same content serialized as YAML and XML,"same token content as closely as possible; model; seed; assets",12,"schema parse; action-order; contact-time error; token count","blind adherence and motion quality","no format doctrine unless replicated on at least two models",semantic-equivalence serializer,queued
DMR-E003,P0,A solved STN timeline improves causal order,unsolved beat list,STN-solved intervals compiled to prompt,"same actions; same durations; same provider",16,"temporal contradiction rate; order accuracy; reaction-before-contact rate","causal coherence","accept when solved condition reduces contradictions by >=30% without quality loss >0.25/5",STN runtime,queued
DMR-E004,P0,Explicit contact records improve contact readability,no contact control,contact record compiled through best available carrier,"same action; same camera; same seed/assets",16,"contact-time error; minimum-distance proxy; reaction latency","contact readability; impact credibility","provider-specific; promote only with significant improvement and no penetration increase",contact annotation protocol,queued
DMR-E005,P0,Support constraints reduce foot sliding,no support schedule,support schedule plus first-frame/pose carrier,"same locomotion; camera fixed",16,"foot-contact F1; root velocity during plant; foot-skate distance","grounding and weight","accept if skate distance drops >=25% and human grounding rises >=0.5/5",pose extractor and foot detector,queued
DMR-E006,P1,Camera compensation can improve perceived impact when physical contact control is weak,physical-motion prompt only,same motion plus contact-timed shake/cut/audio,"same action; same body instructions",12,"contact visibility; camera onset error; motion blur","impact strength; clarity; concealment noticeability","label as perceptual compensation, never physical validation",camera/edit event compiler,queued
DMR-E007,P0,First/last keyframes improve endpoint adherence,text only,first and last frame conditioning,"same prompt; duration; seed",12,"start/end pose similarity; identity score; trajectory endpoint error","continuity and identity","promote per provider/model contract only",provider with first-last support,queued
DMR-E008,P1,Dense prompts outperform compressed prompts only until a provider-specific saturation point,short compiled prompt,dense compiled prompt across 4 token budgets,"same canonical plan; same model/assets",10,"adherence composite; ignored-control count; token count","clarity; visual quality","select Pareto-optimal budget, not longest prompt",prompt compressor,queued
DMR-E009,P0,Shot decomposition improves multi-action reliability,single generation containing all beats,separate shot generations with persistent state handoff,"same total narrative; references; duration budget",12,"action completion; identity drift; screen-side continuity","narrative coherence","accept when completion/continuity gain exceeds edit seam penalty",persistent state model,queued
DMR-E010,P2,Numeric FACS tracks outperform descriptive expressions,descriptive face text,numeric AU onset-apex-offset translated through same carrier,"same face reference; framing; speech",16,"AU detector agreement; timing error; identity similarity","expression naturalness; intended affect","do not promote if automatic AU gain lacks blinded human gain",face crop/AU benchmark,queued
DMR-E011,P2,Project-specific Laban vectors control movement quality better than qualitative words,qualitative Laban descriptors,[-1,1] project vectors compiled to matched text/reference,"same action and performer; no style changes",20,"kinematic proxy distance; output variance","expert LMA ratings; inter-rater reliability","requires ICC or Krippendorff alpha threshold before claiming calibration",LMA annotation study,queued
DMR-E012,P0,Provider-specific compilation beats a generic prompt,generic cross-provider prompt,contract-aware prompt/media/parameter compilation,"same canonical plan; provider; seed/assets",12,"unsupported-control rate; adherence; generation failure rate","overall directability","promote adapter when loss report is complete and adherence improves",provider contracts,queued
DMR-E013,P1,Round-trip minimal repair is more efficient than full regeneration,manual/full prompt rewrite,earliest-causal-layer JSON Patch,"same initial failed output; same budget",20,"iterations to pass; fields changed; token/cost; regression count","repair appropriateness","accept if pass rate improves and collateral regressions drop",re-extraction/evaluator,queued
DMR-E014,P0,Reference-image identity binding reduces actor swaps,no reference image,one or multiple identity references,"same choreography; model; seed",16,"actor swap count; face/body identity embedding drift","identity consistency","contract-specific; no universal identity-lock claim",identity benchmark assets,queued
DMR-E015,P0,Persistent scene state improves cross-shot continuity,independent beat generation,state snapshots and transition validation between beats,"same shot prompts and assets",12,"object ownership errors; screen-side flips; wardrobe/light state changes","continuity","accept if state violations fall >=50%",state manager,queued
DMR-E016,P1,Explicit last-frame conditioning improves continuation,first-frame/text only,first+last frame or source-video extension,"same duration and prompt",12,"boundary pose error; velocity discontinuity; identity drift","continuation smoothness","separate last-frame from extension capability",provider with supported endpoint,queued
DMR-E017,P0,Loss-report severity predicts output failure,controls silently dropped,controls classified and required losses fail closed,"same provider and test suite",30,"precision/recall of predicted failures; calibration error","operator usefulness","accept when high-severity loss predicts failure with calibrated probability",benchmark history,queued
DMR-E018,P0,Seed variance can overwhelm prompt-format effects,one generation per condition,8-20 seeds per condition,"same prompt/format/model/assets",20,"variance components; effect size; CI width","none required","no single-render conclusions; report intraclass variance",seed-supporting provider,queued
DMR-E019,P0,Re-extraction is accurate enough for selected automatic repair metrics,human/mocap gold annotations,re-extracted generated outputs,"controlled filmed, synthetic, and generated clips",50,"MPJPE; contact F1; phase error; actor swaps; calibration","adjudicated error labels","only metrics meeting predeclared error bounds may trigger automatic repair",gold extraction corpus,queued
DMR-E020,P1,Hybrid graph retrieval improves constraint recall over token overlap,current concepts.py lexical overlap,lexical+vector+typed graph subgraph retrieval,"same query set; same context budget",100,"node/edge/path recall; contradiction recall; citation accuracy; token cost","answer faithfulness","promote only if recall and faithfulness improve without >25% token increase",DMR retrieval QA set,queued
DMR-E021,P1,Camera-body disentanglement improves motion evaluation,image-space pose only,world/body motion estimated after camera solve,"same clips and pose backend",50,"root trajectory error; camera path error; false movement attribution","reviewer error classification","required before camera compensation auto-repair",camera-ground-truth data,queued
DMR-E022,P1,Contact-aware scoring improves interaction diagnosis,distance-only contact heuristic,typed contact graph with visibility/support/reaction links,"same interaction clips",50,"contact F1; reaction timing; penetration; false impact rate","contact type correctness","promote only after multi-person and occlusion strata pass",contact-labeled corpus,queued
