claim_id,claim,claim_status,claim_scope,claim_confidence,cpcs_implication,source_id,source_title,source_evidence_class,source_url,source_limitations
C001,"Current video generators remain materially weak on compositional binding, spatial relationships, temporal transitions, and multi-entity interactions; aggregate visual quality does not imply event-level compliance.",verified within cited benchmark scope,benchmark_supported,high,Use typed event/state/spatial metrics rather than a single quality score.,B001,VBench/VBench++/VBench-2.0,benchmark_result,https://github.com/Vchitect/VBench,Aggregate metrics can hide localized failures and inherit evaluator biases.
C001,"Current video generators remain materially weak on compositional binding, spatial relationships, temporal transitions, and multi-entity interactions; aggregate visual quality does not imply event-level compliance.",verified within cited benchmark scope,benchmark_supported,high,Use typed event/state/spatial metrics rather than a single quality score.,B002,T2V-CompBench,benchmark_result,https://github.com/KaiyueSun98/T2V-CompBench,Primarily T2V and benchmark-prompt scoped; commercial model versions age quickly.
C001,"Current video generators remain materially weak on compositional binding, spatial relationships, temporal transitions, and multi-entity interactions; aggregate visual quality does not imply event-level compliance.",verified within cited benchmark scope,benchmark_supported,high,Use typed event/state/spatial metrics rather than a single quality score.,B003,TC-Bench,benchmark_result,https://aclanthology.org/2025.findings-acl.241/,Does not directly isolate every production failure type.
C002,"Temporary occlusion is a hidden-state continuity problem: absence of pixels does not provide evidence of deletion, transformation, or teleportation, yet generation and evaluation systems can fail to preserve the hidden entity/state.",supported,cross-domain synthesis,high for phenomenon; medium for universal internal mechanism,"Add visibility intervals, persistent entity existence, hidden paths, and reappearance contracts.",B011,WorldBench: How Close are World Models to the Physical World?,benchmark_result,https://world-bench.github.io/,Synthetic/controlled benchmark; title-level results should not be generalized to every commercial model.
C002,"Temporary occlusion is a hidden-state continuity problem: absence of pixels does not provide evidence of deletion, transformation, or teleportation, yet generation and evaluation systems can fail to preserve the hidden entity/state.",supported,cross-domain synthesis,high for phenomenon; medium for universal internal mechanism,"Add visibility intervals, persistent entity existence, hidden paths, and reappearance contracts.",B012,Temporally Consistent Transformers for Video Generation,experimental_result,https://proceedings.mlr.press/v202/yan23b.html,Video prediction setting differs from prompt-only commercial generation but exposes the same hidden-state problem.
C002,"Temporary occlusion is a hidden-state continuity problem: absence of pixels does not provide evidence of deletion, transformation, or teleportation, yet generation and evaluation systems can fail to preserve the hidden entity/state.",supported,cross-domain synthesis,high for phenomenon; medium for universal internal mechanism,"Add visibility intervals, persistent entity existence, hidden paths, and reappearance contracts.",B013,Tracking through Containers and Occluders in the Wild,benchmark_result,https://tcow.cs.columbia.edu/,"Perception benchmark, not a generator benchmark; used to design verification and visibility bridges."
C002,"Temporary occlusion is a hidden-state continuity problem: absence of pixels does not provide evidence of deletion, transformation, or teleportation, yet generation and evaluation systems can fail to preserve the hidden entity/state.",supported,cross-domain synthesis,high for phenomenon; medium for universal internal mechanism,"Add visibility intervals, persistent entity existence, hidden paths, and reappearance contracts.",B014,MemoBench,benchmark_result,https://arxiv.org/abs/2606.27537,Recent preprint; version and leaderboard may change.
C002,"Temporary occlusion is a hidden-state continuity problem: absence of pixels does not provide evidence of deletion, transformation, or teleportation, yet generation and evaluation systems can fail to preserve the hidden entity/state.",supported,cross-domain synthesis,high for phenomenon; medium for universal internal mechanism,"Add visibility intervals, persistent entity existence, hidden paths, and reappearance contracts.",B017,TOC-Bench,benchmark_result,https://arxiv.org/abs/2605.09904,"Evaluates video understanding, not generation; directly informs evaluator-risk controls."
C003,Object permanence and recurrence consistency degrade as content leaves view or reappears after longer intervals.,supported,benchmark_supported,high,Carry state/entity ledgers across shots and recurrence gaps.,B011,WorldBench: How Close are World Models to the Physical World?,benchmark_result,https://world-bench.github.io/,Synthetic/controlled benchmark; title-level results should not be generalized to every commercial model.
C003,Object permanence and recurrence consistency degrade as content leaves view or reappears after longer intervals.,supported,benchmark_supported,high,Carry state/entity ledgers across shots and recurrence gaps.,B012,Temporally Consistent Transformers for Video Generation,experimental_result,https://proceedings.mlr.press/v202/yan23b.html,Video prediction setting differs from prompt-only commercial generation but exposes the same hidden-state problem.
