claim_id,topic_id,claim_type,provenance_class,confidence,source_ids,scope,claim
C001,T01,DEFINITION,ESTABLISHED,0.95,S001;S002,framework definition,"LMA is represented in CPCS as Body, Effort, Shape, and Space."
C002,T01,DEFINITION,ESTABLISHED,0.95,S004,foundational framework,"Effort factors are Weight, Time, Space, and Flow with bipolar qualities."
C003,T01,ENGINEERING,CPCS_CONVENTION,1.0,,repository convention,"Signed-to-unit axis conversion is a CPCS normalization, not official LMA notation."
C004,T01,LIMITATION,EMPIRICAL,0.88,S008,study conditions,LMA expert labels show nonzero inter-rater disagreement and require reliability reporting.
C005,T01,METHOD,EMPIRICAL,0.9,S009;S010;S011,"representation, not detection",Labanotation has been represented in XML and ontology forms.
C006,T02,DISTINCTION,ESTABLISHED,0.95,S002;S003,inventory distinction,Bartenieff Basic Six exercises differ from six connectivity patterns.
C007,T02,METHOD,PRACTICE,0.65,S003;S039,task dependent,Cross-lateral organization is a useful prior for contralateral locomotion and rotational actions.
C008,T03,SYNTHESIS,CPCS_CONVENTION,0.98,S013;S014;S015;S016,explicit synthesis,The exact seven-phase CPCS sequence is not a universal established standard.
C009,T03,DEFINITION,ESTABLISHED,0.9,S014;S015,gesture analysis,Gesture stroke is the obligatory meaning-bearing phase in McNeill/Kendon-style analysis; other phases can be optional.
C010,T03,DEFINITION,ESTABLISHED,0.95,S013,BML specification,"BML exposes synchronization points including start, ready, stroke and end-related points."
C011,T04,DISTINCTION,ESTABLISHED,0.98,S017,manual scope,"FACS codes visible facial action, not emotion or deception directly."
C012,T04,DISTINCTION,ESTABLISHED,0.88,S017;S018,edition/implementation dependent,A flat count of 44 AUs depends on code grouping and implementation convention.
C013,T04,METHOD,ESTABLISHED,0.98,S019,current project documentation,OpenFace reports presence and 0–5 intensity for a subset of AUs.
C014,T04,MEASUREMENT,EMPIRICAL,0.95,S022;S023,pain-expression context,"PSPI uses AU4 + max(AU6,AU7) + max(AU9,AU10) + AU43."
C015,T04,LIMITATION,EMPIRICAL,0.9,S070,survey,Micro-expression duration thresholds vary across datasets and are not a universal deception rule.
C016,T05,DEFINITION,ESTABLISHED,0.98,S026;S027,biomechanics,Kinematics describes motion; force estimation requires dynamics assumptions or measurements.
C017,T05,METHOD,EMPIRICAL,0.94,S024,validated study,OpenCap estimates movement dynamics from smartphone video with a musculoskeletal pipeline.
C018,T05,METHOD,EMPIRICAL,0.95,S025,open-source paper,Pose2Sim supports multiview markerless kinematics and inverse-kinematics workflows.
C019,T05,MEASUREMENT,EMPIRICAL,0.94,S028,Olympic boxer protocol,"Published punch velocities/forces are protocol- and population-specific, not universal limits."
C020,T06,LIMITATION,EMPIRICAL,0.9,S033,cross-cultural review,Intent-to-motion mappings are probabilistic and culture/context conditioned.
C021,T06,DATASET,EMPIRICAL,0.95,S030,dataset paper,BEAT is a large multimodal conversational gesture dataset with emotion and multiple languages.
C022,T06,METHOD,EMPIRICAL,0.94,S031,SIGGRAPH model,EMOTE parameterizes expressive motion with Effort and Shape.
C023,T06,LIMITATION,EMPIRICAL,0.9,S017;S020,scope/cue limits,There is no validated universal visible-motion signature for deception.
