source_id,domain,author_or_organization,title,source_type,evidence_class,locator,use_and_caveat
SRC-FACS-001,FACS,Paul Ekman Group,Facial Action Coding System (official overview),official,primary/official,https://www.paulekman.com/facial-action-coding-system/,Use for scope and terminology only; the manual is proprietary and must not be reproduced.
SRC-LMA-001,Laban/BESS,Laban/Bartenieff Institute of Movement Studies,Official institute and certification materials,official,official,https://labaninstitute.org/,Use to verify category terminology and professional framing.
SRC-BF-001,Bartenieff,Peggy Hackney / Routledge,Making Connections: Total Body Integration Through Bartenieff Fundamentals (1999),book,foundational,https://www.routledge.com/Making-Connections-Total-Body-Integration-Through-Bartenieff-Fundamentals/Hackney/p/book/9781138995512,Table of contents confirms the six connectivity chapters; do not copy protected text.
SRC-BF-002,Bartenieff,Basso et al.,Dance on the Brain: Enhancing Intra- and Inter-Brain Synchrony (2021),peer-reviewed article,secondary use of framework,https://pubmed.ncbi.nlm.nih.gov/33505255/,Figure/description enumerates the six patterns; not a normative biomechanics standard.
SRC-BML-001,BML,Kopp et al.,Towards a Common Framework for Multimodal Generation: The Behavior Markup Language (2006),peer-reviewed conference,foundational,https://doi.org/10.1007/11821830_17,Use for SAIBA/BML architecture.
SRC-BML-002,BML,Vilhjalmsson et al.,The Behavior Markup Language: Recent Developments and Challenges (2007),peer-reviewed conference,foundational,https://doi.org/10.1007/978-3-540-74997-4_10,"Use for modalities, realization, sync and challenges."
SRC-BML-003,BML,BML community project,BML 1.0 Standard wiki,specification/community,technical specification,https://projects.cs.ru.is/projects/behavior-markup-language/wiki/Wiki,"Verify exact elements, sync points, units and conformance status before claiming compliance."
SRC-EMO-001,Affect,W3C,Emotion Markup Language 1.0,W3C Recommendation,standard,https://www.w3.org/TR/emotionml/,"Provides categories/dimensions, confidence, modalities, timing and traces."
SRC-PROV-001,Provenance,W3C,PROV-O: The PROV Ontology,W3C Recommendation,standard,https://www.w3.org/TR/prov-o/,"Align entities, activities, agents and derivations."
SRC-SHACL-001,Graph validation,W3C,Shapes Constraint Language (SHACL),W3C Recommendation,standard,https://www.w3.org/TR/shacl/,Use for RDF graph constraint validation.
SRC-TIME-001,Temporal ontology,W3C/OGC,Time Ontology in OWL,W3C publication,standard/draft status must be checked,https://www.w3.org/TR/owl-time/,Use only with status and version pinned.
SRC-JSON-001,JSON,IETF,RFC 8259: The JavaScript Object Notation (JSON) Data Interchange Format,RFC/Internet Standard,standard,https://www.rfc-editor.org/rfc/rfc8259,"Use for syntax, arrays, objects, interoperability and UTF-8."
SRC-JSEQ-001,JSON text sequences,IETF,RFC 8142: JavaScript Object Notation (JSON) Text Sequences,RFC,standard,https://www.rfc-editor.org/rfc/rfc8142,Distinguish RFC JSON text sequences from newline-delimited JSON conventions.
SRC-JSCH-001,JSON Schema,JSON Schema project,JSON Schema Draft 2020-12,specification,official,https://json-schema.org/draft/2020-12,Pin dialect and meta-schema.
SRC-YAML-001,YAML,YAML Language Development Team,YAML 1.2.2 Specification,specification,official,https://yaml.org/spec/1.2.2/,Use for syntax/types; safe-loader behavior is implementation-specific.
SRC-XML-001,XML,W3C,Extensible Markup Language (XML) 1.0 Fifth Edition,W3C Recommendation,standard,https://www.w3.org/TR/xml/,Use for well-formedness and document model.
SRC-PICARD-001,Constrained decoding,"Scholak, Schucher, Bahdanau",PICARD: Parsing Incrementally for Constrained Auto-Regressive Decoding (2021),peer-reviewed conference,primary research,https://aclanthology.org/2021.emnlp-main.779/,Supports incremental parsing as a constrained-decoding pattern; SQL-specific evaluation.
SRC-FMT-001,LLM format effects,He et al.,Does Prompt Formatting Have Any Impact on LLM Performance? (2024),preprint,primary empirical research,https://arxiv.org/abs/2411.10541,Shows model/task sensitivity; not evidence that one format always wins.
SRC-FMT-002,LLM format restrictions,Tam et al.,Let Me Speak Freely? A Study on the Impact of Format Restrictions on Performance of Large Language Models (2024),preprint,primary empirical research,https://arxiv.org/abs/2408.02442,Supports separating reasoning from formatting in some settings.
SRC-FMT-003,Structured output parseability,"Neveditsin, Lingras, Mago",Evaluating Structured Output Robustness of Small Language Models for Open Attribute-Value Extraction from Clinical Notes (2025),peer-reviewed ACL workshop,primary empirical research,https://aclanthology.org/2025.acl-srw.19/,JSON parseability result is task/model-specific.
SRC-FMT-004,Format tax,"Lee, D'Antoni, Berg-Kirkpatrick",The Format Tax (2026),preprint,primary empirical research,https://arxiv.org/abs/2604.03616,Recent evidence; pin version and do not treat as settled consensus.
SRC-ISB-001,Biomechanics,International Society of Biomechanics,ISB recommendations for reporting forces and moments and joint coordinate systems,official recommendations,standardizing guidance,https://isbweb.org/,Locate and cite the exact recommendation papers/DOIs in the final source index.
