failure_code,failure_id,category,failure_name,severity,controllability,mitigation_order,mitigation_level,mitigation_level_name,method,expected_benefit,token_or_character_cost,generation_cost_impact,risk_of_new_failure,provider_dependency,evidence_strength,verification_method,verification_metric_ids,rollback,limitations,source_refs,research_status
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Occlusion and hidden state,Hidden-state reconstruction hallucination,high,requires_visual_or_control_conditioning,1,L2,canonical event/state contract,"Compile an Occlusion Continuity Contract: subject ID, pre-state, start/end, hidden path, expected reappearance region, identity/count locks, allowed and forbidden state changes, and visibility bridge.",Removes ambiguity from the canonical target and gives the verifier explicit checkpoints.,low-to-medium,none-to-one additional candidate,May dilute other controls if added without compression.,provider capability and adapter dependent,moderate-to-strong where supported by cited benchmark/control literature; provider-specific effect size unqualified,"Re-run metric_occlusion_continuity, metric_reappearance_position_error, metric_identity_continuity, metric_event_graph_agreement on paired seeds and retain per-seed outcomes.","[""metric_occlusion_continuity"",""metric_reappearance_position_error"",""metric_identity_continuity"",""metric_event_graph_agreement""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B012"",""B013"",""B014"",""B017""]",literature-and-repository-grounded; live provider qualification pending
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Occlusion and hidden state,Hidden-state reconstruction hallucination,high,requires_visual_or_control_conditioning,2,L4,"pose, mask, depth, trajectory, or control video","Provide a mask, point track, silhouette, pose trajectory, depth/trajectory control, or control video spanning the hidden interval.",Carries information through the interval instead of asking text alone to preserve an unobserved state.,low prompt cost; medium asset preparation cost,additional asset preparation and/or multiple generated clips,"Can introduce boundary, compositing, reference-transfer, or motion-stiffness artifacts; verify all preserved controls.",provider capability and adapter dependent,mechanistically strong control escalation; exact benefit requires live provider tests,"Re-run metric_occlusion_continuity, metric_reappearance_position_error, metric_identity_continuity, metric_event_graph_agreement on paired seeds and retain per-seed outcomes.","[""metric_occlusion_continuity"",""metric_reappearance_position_error"",""metric_identity_continuity"",""metric_event_graph_agreement""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B012"",""B013"",""B014"",""B017""]",literature-and-repository-grounded; live provider qualification pending
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Occlusion and hidden state,Hidden-state reconstruction hallucination,high,requires_visual_or_control_conditioning,3,L5,shot decomposition,Split at a stable visible state before the occlusion and generate the effect/hidden transition as a separate shot or postproduction layer.,Eliminates the need for one model sample to preserve an unobservable transition.,minimal prompt cost; workflow cost may be high,"localized regeneration, substitution, or postproduction","May change style, timing, or already-passing regions; full regression verification required.",provider capability and adapter dependent,fallback intervention; use only after the lower level fails its paired-seed gate,"Re-run metric_occlusion_continuity, metric_reappearance_position_error, metric_identity_continuity, metric_event_graph_agreement on paired seeds and retain per-seed outcomes.","[""metric_occlusion_continuity"",""metric_reappearance_position_error"",""metric_identity_continuity"",""metric_event_graph_agreement""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B012"",""B013"",""B014"",""B017""]",literature-and-repository-grounded; live provider qualification pending
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Occlusion and hidden state,Duplicate subject on reappearance,high,requires_visual_or_control_conditioning,1,L2,canonical event/state contract,"Hard-lock actor_count and entity IDs before, during, and after the interval; declare reflections/shadows as non-entity render phenomena.",Turns actor count and reflection status into explicit invariants rather than prose preferences.,low-to-medium,none-to-one additional candidate,May dilute other controls if added without compression.,provider capability and adapter dependent,moderate-to-strong where supported by cited benchmark/control literature; provider-specific effect size unqualified,"Re-run metric_actor_count_consistency, metric_identity_continuity, metric_occlusion_continuity on paired seeds and retain per-seed outcomes.","[""metric_actor_count_consistency"",""metric_identity_continuity"",""metric_occlusion_continuity""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B013"",""B015"",""B017"",""B018""]",literature-and-repository-grounded; live provider qualification pending
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Occlusion and hidden state,Duplicate subject on reappearance,high,requires_visual_or_control_conditioning,2,L3,reference image or storyboard,Use distinct actor reference sheets and a post-occlusion keyframe/storyboard showing exactly the intended count and layout.,Anchors the reappearance state and reduces duplicate completion modes.,low prompt cost; medium asset preparation cost,additional asset preparation and/or multiple generated clips,"Can introduce boundary, compositing, reference-transfer, or motion-stiffness artifacts; verify all preserved controls.",provider capability and adapter dependent,mechanistically strong control escalation; exact benefit requires live provider tests,"Re-run metric_actor_count_consistency, metric_identity_continuity, metric_occlusion_continuity on paired seeds and retain per-seed outcomes.","[""metric_actor_count_consistency"",""metric_identity_continuity"",""metric_occlusion_continuity""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B013"",""B015"",""B017"",""B018""]",literature-and-repository-grounded; live provider qualification pending
A02,failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,Occlusion and hidden state,Duplicate subject on reappearance,high,requires_visual_or_control_conditioning,3,L6,postproduction/compositing,Composite the occluding effect over a clean actor plate or remove duplicate regions with tracked masks.,Makes count preservation deterministic when generation cannot maintain it.,minimal prompt cost; workflow cost may be high,"localized regeneration, substitution, or postproduction","May change style, timing, or already-passing regions; full regression verification required.",provider capability and adapter dependent,fallback intervention; use only after the lower level fails its paired-seed gate,"Re-run metric_actor_count_consistency, metric_identity_continuity, metric_occlusion_continuity on paired seeds and retain per-seed outcomes.","[""metric_actor_count_consistency"",""metric_identity_continuity"",""metric_occlusion_continuity""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B011"",""B013"",""B015"",""B017"",""B018""]",literature-and-repository-grounded; live provider qualification pending
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Occlusion and hidden state,Identity mutation behind occlusion,high,requires_visual_or_control_conditioning,1,L2,canonical event/state contract,Compile a multimodal identity signature and forbid identity/costume/body-state transitions during the visibility interval.,Defines identity from multiple nonfacial attributes and makes the absence of transformation explicit.,low-to-medium,none-to-one additional candidate,May dilute other controls if added without compression.,provider capability and adapter dependent,moderate-to-strong where supported by cited benchmark/control literature; provider-specific effect size unqualified,"Re-run metric_identity_continuity, metric_occlusion_continuity, metric_object_state_transition on paired seeds and retain per-seed outcomes.","[""metric_identity_continuity"",""metric_occlusion_continuity"",""metric_object_state_transition""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B014"",""B015"",""B017""]",literature-and-repository-grounded; live provider qualification pending
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Occlusion and hidden state,Identity mutation behind occlusion,high,requires_visual_or_control_conditioning,2,L3,reference image or storyboard,"Supply separate face, full-body, costume, and reappearance references or a first/last-frame pair.",Provides direct visual anchors before and after the ambiguous interval.,low prompt cost; medium asset preparation cost,additional asset preparation and/or multiple generated clips,"Can introduce boundary, compositing, reference-transfer, or motion-stiffness artifacts; verify all preserved controls.",provider capability and adapter dependent,mechanistically strong control escalation; exact benefit requires live provider tests,"Re-run metric_identity_continuity, metric_occlusion_continuity, metric_object_state_transition on paired seeds and retain per-seed outcomes.","[""metric_identity_continuity"",""metric_occlusion_continuity"",""metric_object_state_transition""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B014"",""B015"",""B017""]",literature-and-repository-grounded; live provider qualification pending
A03,failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,Occlusion and hidden state,Identity mutation behind occlusion,high,requires_visual_or_control_conditioning,3,L7,regenerate only the failing interval,Regenerate only the occlusion/reappearance interval with fixed boundary frames and composite it into the passing clip.,Limits identity resampling to the failed interval while preserving accepted regions.,minimal prompt cost; workflow cost may be high,"localized regeneration, substitution, or postproduction","May change style, timing, or already-passing regions; full regression verification required.",provider capability and adapter dependent,fallback intervention; use only after the lower level fails its paired-seed gate,"Re-run metric_identity_continuity, metric_occlusion_continuity, metric_object_state_transition on paired seeds and retain per-seed outcomes.","[""metric_identity_continuity"",""metric_occlusion_continuity"",""metric_object_state_transition""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B014"",""B015"",""B017""]",literature-and-repository-grounded; live provider qualification pending
A04,failure://occlusion and hidden state/reappearance_position_discontinuity/a04,Occlusion and hidden state,Reappearance-position discontinuity,high,requires_visual_or_control_conditioning,1,L2,canonical event/state contract,"Encode entry point, velocity/trajectory class, hidden path, coordinate frame, expected reappearance region, and allowed camera transform.",Makes spatial continuity a transition contract rather than two disconnected positions.,low-to-medium,none-to-one additional candidate,May dilute other controls if added without compression.,provider capability and adapter dependent,moderate-to-strong where supported by cited benchmark/control literature; provider-specific effect size unqualified,"Re-run metric_reappearance_position_error, metric_screen_direction_consistency, metric_spatial_relation_accuracy, metric_camera_motion_agreement on paired seeds and retain per-seed outcomes.","[""metric_reappearance_position_error"",""metric_screen_direction_consistency"",""metric_spatial_relation_accuracy"",""metric_camera_motion_agreement""]",Restore the prior canonical score/build and preserve the failed candidate as immutable evidence.,"[""No intervention guarantees compliance on stochastic generators.""]","[""B012"",""B013"",""B019"",""B020"",""B021""]",literature-and-repository-grounded; live provider qualification pending
