provider,model_family,model_or_endpoint_id,release_or_document_scope,current_status_at_2026_08_05,access_path,documented_generation_modes,documented_inputs,documented_duration,documented_output,documented_audio,documented_reference_or_control_inputs,documented_prompt_limit,seed_or_reproducibility,official_source_ids,empirical_failure_reliability,recommended_cpcs_role,critical_caveats
Google Vertex AI,Veo 3.1,veo-3.1-generate-001,official docs current through 2026,documented production endpoint,Vertex AI predictLongRunning,T2V; I2V; first+last frame; extension on documented workflows,text; first frame; optional last frame,4/6/8s per generation; extension workflow separate,720p/1080p; 24 fps,official pages are endpoint-specific; current CPCS repo profile sets sound_generation=false,first/last images; negativePrompt; seed,not asserted by CPCS repo profile; provider request budget is adapter policy,uint32 seed documented; artifact verification still required,M001 M013 R007,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,"High-quality endpoint with explicit endpoint qualification; use first/last only as endpoint constraints, not hidden-path proof.","Google documentation exposes endpoint/model differences, including audio and 4K preview distinctions; bind exact endpoint and date."
Google Vertex AI,Veo 3.1 Fast,veo-3.1-fast-generate-001,official docs current through 2026,documented production/fast endpoint,Vertex AI predictLongRunning,T2V; I2V; first+last frame,text; first frame; optional last frame,4/6/8s,720p/1080p; 24 fps,endpoint-specific; verify before compile,first/last images; seed,endpoint-specific,seed documented; same-request identity is not a compliance guarantee,M001 M013,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Fast ablation and draft generation after exact capability check.,Do not infer quality parity with standard model.
Runway,Gen-4.5,gen4.5,API available 2026-02-10,current API model,Runway API,T2V; I2V,text; first image for I2V,integer 2-10s,T2V 1280x720/720x1280; additional I2V ratios; 720-class API outputs,not documented as native joint audio in cited endpoint,first image; ratio; duration; seed,1-1000 UTF-16 code units,"same seed described as similar, not exact identity",M002 M015 M021 M022,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Prompt- and image-conditioned short shots; pair with external audio and post when exact sync is required.,No official model-specific failure distribution; prompt limit requires compiler compression.
Runway,Aleph 2.0,aleph2,official product/API docs 2026,current source-video editing model,Runway API / Edit Studio,V2V editing,source video + text and/or images,2-30s input,preserves source resolution up to 1080p; <=30 fps input,source audio handling must be verified for the exact workflow,source video; edit prompt; up to workflow-specific keyframe/reference images,1-1000 UTF-16 code units in API prompt fields where applicable,capture request and artifact hashes; no exact semantic-isolation guarantee,M002 M016 M021,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,"Localized repair, preservation-heavy transformation, and effect layering on accepted motion plates.","Editing can spill outside the intended region; verify all hard locks, not only the requested change."
Runway,Seedance 2.0 adapter,seedance2 / seedance2_fast / seedance2_mini,current Runway API 2026-08-05,current third-party adapter,Runway API,T2V; I2V; V2V,text; images including first/last/reference; video; model-specific refs,endpoint/model-specific,endpoint/model-specific,endpoint/model-specific,multimodal reference inputs exposed by adapter,1-1000 UTF-16 code units,Runway seed semantics; verify model-specific schema,M002 M015 M021,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Adapter qualification and cross-provider experiments when native Seedance access is unavailable.,Do not assume native ByteDance limits or behavior are preserved by the adapter.
ByteDance Seed,Seedance 2.0,Seedance 2.0,released 2026-02-12,officially launched; exact API access path varies,Seedance product/native ecosystem,T2V; I2V; multimodal reference; editing; extension; multi-shot AV,text; up to 9 images; 3 videos; 3 audio clips,up to 15s official launch claim,high-quality multi-shot AV; exact API resolution not verified in this pass,native joint audio-video; provider acknowledges occasional audio distortion,image/video/audio references; extension/editing,not verified with 100% certainty for every interface,not verified for native interface,M004,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Multimodal/reference-heavy experiments and complex AV scenes after exact interface capture.,"Provider-authored quality claims are not reliability proof; detail stability, multi-subject consistency, text rendering, complex editing, and occasional audio distortion remain acknowledged limits."
Kuaishou,Kling Video 3.0 / 3.0 Omni,Kling Video 3.0; Video3 Omni,released 2026-02-05,officially launched,Kling AI product/API subject to exact access,T2V; I2V; R2V; in-video editing; multi-shot,text; image; audio; video,up to 15s in official release,exact resolution/fps must be verified in the selected interface,native multilingual audio and multi-character dialogue claimed,multiple image/video references; multimodal editing,interface-specific; not verified here,not verified here,M019,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Reference-to-video and native-audio qualification arms.,Official consistency/control claims are provider-authored; exact API request schema and limits require live interface capture.
MiniMax,Hailuo 2.3,MiniMax-Hailuo-2.3,released 2025-10-28,current documented API model,MiniMax API,T2V; I2V,text; first frame for I2V,6s or 10s at 768p; 6s at 1080p,768p/1080p,no native audio capability established by cited video endpoint,first-frame image; camera-command prompt syntax on documented T2V guide,up to 2000 characters on cited T2V documentation,capture task ID and output; exact reproducibility not established,M006 M007 M020,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Short T2V/I2V provider comparison with explicit prompt-budget adapter.,Fast/standard variants have different modes; official realism claims are not qualification evidence.
MiniMax,Hailuo 2.3 Fast,MiniMax-Hailuo-2.3-Fast,released 2025-10-28,current documented API model,MiniMax API,I2V,text + first frame,6s or 10s at 768p; 6s at 1080p,768p/1080p,not established,first frame,endpoint-specific,not established,M006 M020,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,Low-cost I2V ablation arm.,Not a T2V model according to release notes.
MiniMax,Hailuo 02,MiniMax-Hailuo-02,current docs accessed 2026-08-05,current documented API model,MiniMax API,text/image video modes including first/last/reference depending endpoint,text; first/last/reference images,up to 10s,up to 1080p,not established,first/last/reference images,endpoint-specific,not established,M020,NOT ESTABLISHED by official documentation; CPCS repeated-seed qualification required,First/last-frame comparison arm.,Exact mode-by-mode limits must be captured from the selected endpoint.
