"Tier","File","Label","Source"
"01_failure_aware","EXECUTIVE_SYNTHESIS.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\EXECUTIVE_SYNTHESIS.md"
"01_failure_aware","FAILURE_TAXONOMY.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\FAILURE_TAXONOMY.md"
"01_failure_aware","FAILURE_CAUSE_MODEL.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\FAILURE_CAUSE_MODEL.md"
"01_failure_aware","MITIGATION_HIERARCHY.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\MITIGATION_HIERARCHY.md"
"01_failure_aware","LOCALIZED_REPAIR_PLAYBOOK.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\LOCALIZED_REPAIR_PLAYBOOK.md"
"01_failure_aware","FINAL_RESEARCH_ANSWER.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\FINAL_RESEARCH_ANSWER.md"
"01_failure_aware","MINIMUM_SUFFICIENT_REPRESENTATION.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\MINIMUM_SUFFICIENT_REPRESENTATION.md"
"01_failure_aware","RESEARCH_BRIEF.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\RESEARCH_BRIEF.md"
"01_failure_aware","RESEARCH_METHOD.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\RESEARCH_METHOD.md"
"01_failure_aware","VALIDATION_REPORT.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\VALIDATION_REPORT.md"
"01_failure_aware","README.md","core","Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\README.md"
"01_failure_aware","AUDIO_VIDEO_SYNCHRONIZATION_FAILURES.md","category","C:\Users\Sammb\Downloads\DAG_Kinetic_Movement\Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\AUDIO_VIDEO_SYNCHRONIZATION_FAILURES.md"
"01_failure_aware","CAMERA_EDIT_AND_ANIME_DISCONTINUITY_FAILURES.md","category","C:\Users\Sammb\Downloads\DAG_Kinetic_Movement\Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\CAMERA_EDIT_AND_ANIME_DISCONTINUITY_FAILURES.md"
"01_failure_aware","CONTACT_BALANCE_AND_PHYSICS_FAILURES.md","category","C:\Users\Sammb\Downloads\DAG_Kinetic_Movement\Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\CONTACT_BALANCE_AND_PHYSICS_FAILURES.md"
"01_failure_aware","EVALUATOR_FAILURES.md","category","C:\Users\Sammb\Downloads\DAG_Kinetic_Movement\Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\EVALUATOR_FAILURES.md"
"01_failure_aware","FLUID_MATERIAL_AND_VFX_FAILURES.md","category","C:\Users\Sammb\Downloads\DAG_Kinetic_Movement\Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\FLUID_MATERIAL_AND_VFX_FAILURES.md"
"01_failure_aware","IDENTITY_OBJECT_PERMANENCE_AND_ROLE_FAILURES.md","category","C:\Users\Sammb\Downloads\DAG_Kinetic_Movement\Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\IDENTITY_OBJECT_PERMANENCE_AND_ROLE_FAILURES.md"
"01_failure_aware","OCCLUSION_AND_HIDDEN_STATE_FAILURES.md","category","C:\Users\Sammb\Downloads\DAG_Kinetic_Movement\Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\OCCLUSION_AND_HIDDEN_STATE_FAILURES.md"
"01_failure_aware","PROMPT_FORMAT_AND_ATTENTION_BUDGET_FAILURES.md","category","C:\Users\Sammb\Downloads\DAG_Kinetic_Movement\Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\PROMPT_FORMAT_AND_ATTENTION_BUDGET_FAILURES.md"
"01_failure_aware","SPATIAL_AND_SCREEN_GEOGRAPHY_FAILURES.md","category","C:\Users\Sammb\Downloads\DAG_Kinetic_Movement\Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\SPATIAL_AND_SCREEN_GEOGRAPHY_FAILURES.md"
"01_failure_aware","TEMPORAL_ACTION_CAUSALITY_FAILURES.md","category","C:\Users\Sammb\Downloads\DAG_Kinetic_Movement\Research_distillation_folder\research\continue_detail\CPCS_Failure_Aware_Video_Research_Package_v1.0\CPCS_Failure_Aware_Video_Research_Package_v1.0\TEMPORAL_ACTION_CAUSALITY_FAILURES.md"
"02_verification","measurement_form.md","scoring","cpcs\verification\measurement_form.md"
"02_verification","repair_strategy.md","repair doctrine","cpcs\verification\repair_strategy.md"
"03_camera","camera_three_layer_semantics.md","shot/angle/movement","cpcs\knowledge\12_camera_image_formation\camera_three_layer_semantics.md"
"03_camera","camera_subject_parallax.md","coupling","cpcs\knowledge\12_camera_image_formation\camera_subject_parallax.md"
"03_camera","camera_impact_sync.md","impact sync","cpcs\knowledge\12_camera_image_formation\camera_impact_sync.md"
"04_provider_capability","capability_classes_and_loss_records.md","R1-R4 + matrix","cpcs\runtime\07_compiler\semantic_mapping\capability_classes_and_loss_records.md"
"05_temporal_rhythm","rhythm_metrics_contract.md","rhythm","cpcs\knowledge\10_time_rhythm\rhythm_metrics_contract.md"
"05_temporal_rhythm","beat_syncpoint_alignment.md","beat syncpoint","cpcs\knowledge\10_time_rhythm\beat_syncpoint_alignment.md"
"06_force_physics","momentum_impulse.md","momentum","cpcs\knowledge\09_force_physics\momentum_impulse.md"
"06_force_physics","fail_closed_dynamics.md","fail-closed","cpcs\knowledge\09_force_physics\fail_closed_dynamics.md"
"06_force_physics","jerk_noise_sensitivity.md","jerk/noise","cpcs\knowledge\09_force_physics\jerk_noise_sensitivity.md"
"07_style","style_mechanics.md","mechanics","cpcs\knowledge\16_style_visual_language\style_mechanics.md"
"07_style","anime_sakuga_representation.md","anime sakuga","cpcs\knowledge\16_style_visual_language\anime_sakuga_representation.md"
"08_deconstruction_papers","Pegasus_Atomic_Video_Deconstruction_and_Modular_AI_Recreation_v1.0.md","Pegasus","Research_distillation_folder\major_md\Pegasus_Atomic_Video_Deconstruction_and_Modular_AI_Recreation_v1.0.md"
"08_deconstruction_papers","CPCS_FACS_Laban_AI_Video_Directorial_Control_Research_Paper.md","FACS/Laban paper","Research_distillation_folder\major_md\CPCS_FACS_Laban_AI_Video_Directorial_Control_Research_Paper.md"
"08_deconstruction_papers","CPCS_MX_Hierarchical_Motion_Grammar_Research_Paper.md","MX paper","Research_distillation_folder\major_md\CPCS_MX_Hierarchical_Motion_Grammar_Research_Paper.md"
"08_deconstruction_papers","quad_carrier_prompt_standalone_findings.md","quad-carrier worked example","cpcs\research\distillation\quad_carrier_prompt_standalone_findings.md"
"09_continuity","continuity_state.md","cut-edge contracts","cpcs\knowledge\18_sequence_continuity\continuity_state.md"
"10_foundational_contracts","control_plane_reference.md","master architecture","cpcs\00_governance\policies\control_plane_reference.md"
"11_format_carrier","format_ownership.md","format ownership","cpcs\runtime\07_compiler\format_ownership.md"
"11_format_carrier","structured_prompting_architecture.md","structured prompting","cpcs\runtime\07_compiler\structured_prompting_architecture.md"
