failure_id,failure_code,failure_name,existing_owner,existing_coverage,missing_evidence,missing_mitigation,missing_test,recommended_owner,integration_class
failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,A01,Hidden-state reconstruction hallucination,lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,Typed visibility interval/hidden-path contract; failure-specific metrics; repeated-seed occlusion evidence,"Run fixture://a01/minimal_trigger, fixture://a01/paired_control, and fixture://a01/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://occlusion and hidden state/duplicate_subject_on_reappearance/a02,A02,Duplicate subject on reappearance,lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,Typed visibility interval/hidden-path contract; failure-specific metrics; repeated-seed occlusion evidence,"Run fixture://a02/minimal_trigger, fixture://a02/paired_control, and fixture://a02/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://occlusion and hidden state/identity_mutation_behind_occlusion/a03,A03,Identity mutation behind occlusion,lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,Typed visibility interval/hidden-path contract; failure-specific metrics; repeated-seed occlusion evidence,"Run fixture://a03/minimal_trigger, fixture://a03/paired_control, and fixture://a03/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://occlusion and hidden state/reappearance_position_discontinuity/a04,A04,Reappearance-position discontinuity,lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,Typed visibility interval/hidden-path contract; failure-specific metrics; repeated-seed occlusion evidence,"Run fixture://a04/minimal_trigger, fixture://a04/paired_control, and fixture://a04/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://occlusion and hidden state/subject_occluder_fusion/a05,A05,Subject–occluder fusion,lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,Typed visibility interval/hidden-path contract; failure-specific metrics; repeated-seed occlusion evidence,"Run fixture://a05/minimal_trigger, fixture://a05/paired_control, and fixture://a05/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://occlusion and hidden state/submerged_or_hidden_subject_deletion/a06,A06,Submerged or hidden subject deletion,lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,Typed visibility interval/hidden-path contract; failure-specific metrics; repeated-seed occlusion evidence,"Run fixture://a06/minimal_trigger, fixture://a06/paired_control, and fixture://a06/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://occlusion and hidden state/visibility_bridge_attachment_loss/a07,A07,Visibility-bridge attachment loss,lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,Typed visibility interval/hidden-path contract; failure-specific metrics; repeated-seed occlusion evidence,"Run fixture://a07/minimal_trigger, fixture://a07/paired_control, and fixture://a07/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + actions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://object permanence and state/object_disappearance/b01,B01,Object disappearance,lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"State-ledger typing, possession transitions, object-state tests, multi-shot persistence evidence","Run fixture://b01/minimal_trigger, fixture://b01/paired_control, and fixture://b01/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://object permanence and state/spontaneous_object_duplication/b02,B02,Spontaneous object duplication,lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"State-ledger typing, possession transitions, object-state tests, multi-shot persistence evidence","Run fixture://b02/minimal_trigger, fixture://b02/paired_control, and fixture://b02/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://object permanence and state/prop_replacement/b03,B03,Prop replacement,lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"State-ledger typing, possession transitions, object-state tests, multi-shot persistence evidence","Run fixture://b03/minimal_trigger, fixture://b03/paired_control, and fixture://b03/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#continuity + entities + assets + interactions; lab/verification,contract_affecting;implementation_affecting;verification_affecting
