failure_code,failure_id,failure_name,category,finding_classification,controllability,cpcs_surface,required_change_or_effect
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,intent_normalization,Preserve the requested invariant and classify ambiguity before compilation.
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,profile_routing,Route to the Occlusion and hidden state risk profile and provider capability filter.
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,canonical_score,"[""continuity.visibility_intervals"",""continuity.state_ledger"",""actions"",""constraints.continuity_locks"",""verification_requirements""]"
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,event_graph,"Add typed nodes/edges only when the failure involves event, causal, role, or transition semantics."
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,spatial_state,Carry declared coordinate frame and transition constraints when relevant.
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,identity_ledger,"Use stable entity IDs and signatures whenever actors, voices, products, or props can be rebound."
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,continuity_ledger,"Record precondition, allowed transition, postcondition, visibility interval, and forbidden changes."
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,provider_capability_profile,"Record whether the provider can carry text, reference, keyframe, control-media, seed, repair, and audio requirements without silent loss."
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,serialization_strategy,Emit one provider-native authority representation; do not duplicate semantic authorities.
A01,failure://occlusion and hidden state/hidden_state_reconstruction_hallucination/a01,Hidden-state reconstruction hallucination,Occlusion and hidden state,"[""contract_affecting"",""implementation_affecting"",""verification_affecting""]",requires_visual_or_control_conditioning,prompt_compression,"Protect hard locks, causal edges, identities, start/end states, and visibility bridges before style adjectives."
